frequency;letter;
1;t;4,306930693
5;m;4,336633663
4;t;4,376237624
4;t;4,405940594
5;n;4,396039604
4;m;4,435643564
5;t;4,425742574
5;s;4,425742574
3;t;4,465346535
4;t;4,455445545
2;t;4,455445545
4;l;4,445544554
5;n;4,465346535
3;t;4,514851485
5;m;4,514851485
4;s;4,435643564
4;s;4,415841584
7;t;4,495049505
7;r;4,514851485
4;r;4,485148515
3;s;4,455445545
5;t;4,425742574
4;m;4,405940594
4;t;4,396039604
4;s;4,366336634
4;n;4,346534653
4;c;4,336633663
5;r;4,316831683
5;t;4,267326733
4;r;4,247524752
4;s;4,247524752
6;t;4,247524752
5;c;4,217821782
3;p;4,178217822
5;t;4,198019802
5;m;4,257425743
4;t;4,227722772
6;t;4,158415842
4;m;4,207920792
4;s;4,217821782
4;l;4,257425743
7;s;4,297029703
4;s;4,306930693
4;s;4,336633663
4;r;4,306930693
5;r;4,336633663
5;m;4,356435644
4;t;4,336633663
4;m;4,356435644
4;t;4,356435644
4;t;4,396039604
6;n;4,396039604
3;s;4,376237624
4;t;4,445544554
4;r;4,415841584
5;c;4,405940594
3;s;4,425742574
5;t;4,435643564
5;s;4,425742574
3;t;4,415841584
3;t;4,465346535
4;n;4,415841584
4;c;4,435643564
4;n;4,405940594
4;r;4,405940594
5;n;4,435643564
3;t;4,445544554
4;t;4,415841584
3;t;4,425742574
3;t;4,405940594
5;t;4,376237624
4;t;4,405940594
5;r;4,396039604
4;r;4,346534653
5;s;4,326732673
4;s;4,336633663
6;t;4,366336634
8;r;4,336633663
6;t;4,336633663
4;t;4,346534653
4;l;4,267326733
3;n;4,277227723
4;t;4,267326733
4;l;4,297029703
4;s;4,287128713
4;t;4,237623762
5;s;4,217821782
3;r;4,257425743
3;t;4,257425743
4;s;4,287128713
3;t;4,346534653
3;s;4,306930693
5;r;4,376237624
7;r;4,435643564
4;t;4,534653465
3;t;4,534653465
4;t;4,514851485
5;t;4,544554455
7;s;4,564356436
4;c;4,564356436
4;s;4,584158416
4;d;4,623762376
5;r;4,623762376
5;m;4,663366337
4;n;4,722772277
4;n;4,732673267
6;r;4,732673267
4;t;4,683168317
6;s;4,693069307
5;t;4,663366337
4;n;4,673267327
4;n;4,663366337
4;s;4,673267327
4;t;4,673267327
5;m;4,544554455
5;t;4,554455446
4;t;4,524752475
5;n;4,485148515
5;t;4,405940594
6;c;4,415841584
5;s;4,415841584
6;t;4,435643564
4;r;4,396039604
5;t;4,346534653
4;s;4,247524752
5;t;4,237623762
3;r;4,257425743
5;r;4,257425743
4;r;4,247524752
4;s;4,257425743
5;s;4,198019802
3;t;4,188118812
6;s;4,188118812
4;n;4,148514851
7;s;4,178217822
3;t;4,148514851
4;t;4,118811881
6;t;4,128712871
5;n;4,128712871
7;s;4,118811881
5;s;4,079207921
4;p;4,04950495
4;s;4,069306931
3;t;4,118811881
7;t;4,217821782
4;t;4,237623762
3;s;4,178217822
4;t;4,217821782
4;t;4,247524752
6;t;4,277227723
5;s;4,237623762
4;r;4,247524752
3;r;4,247524752
4;n;4,237623762
4;n;4,247524752
5;l;4,247524752
6;t;4,267326733
3;t;4,316831683
5;t;4,346534653
5;s;4,386138614
4;c;4,376237624
4;t;4,326732673
3;r;4,306930693
7;s;4,277227723
5;s;4,247524752
5;s;4,306930693
4;t;4,287128713
4;c;4,247524752
4;r;4,267326733
3;t;4,247524752
3;t;4,287128713
4;t;4,316831683
1;t;4,297029703
4;t;4,267326733
3;n;4,267326733
3;t;4,306930693
5;m;4,306930693
5;s;4,287128713
5;t;4,277227723
5;t;4,207920792
6;n;4,207920792
8;s;4,247524752
7;s;4,237623762
4;r;4,237623762
4;t;4,247524752
4;d;4,267326733
3;s;4,257425743
5;r;4,297029703
3;s;4,287128713
4;t;4,237623762
6;s;4,247524752
3;s;4,217821782
5;t;4,267326733
5;t;4,306930693
3;t;4,267326733
3;t;4,247524752
4;t;4,247524752
3;t;4,267326733
3;r;4,346534653
6;c;4,396039604
4;s;4,485148515
4;t;4,465346535
4;c;4,465346535
4;s;4,465346535
3;t;4,495049505
4;t;4,504950495
5;t;4,465346535
6;t;4,445544554
4;n;4,396039604
4;n;4,435643564
4;t;4,475247525
4;m;4,495049505
5;t;4,465346535
4;s;4,425742574
4;t;4,455445545
3;r;4,415841584
4;n;4,405940594
4;s;4,386138614
5;n;4,336633663
5;n;4,287128713
4;t;4,217821782
5;l;4,247524752
4;t;4,257425743
4;s;4,267326733
4;t;4,237623762
5;c;4,227722772
5;t;4,207920792
4;n;4,237623762
3;s;4,217821782
3;r;4,247524752
5;t;4,198019802
4;l;4,168316832
5;t;4,158415842
5;n;4,148514851
6;t;4,207920792
3;s;4,247524752
4;t;4,247524752
4;d;4,277227723
3;t;4,267326733
4;t;4,277227723
5;l;4,287128713
3;t;4,277227723
4;t;4,257425743
7;s;4,316831683
3;t;4,257425743
4;l;4,257425743
4;t;4,336633663
3;s;4,297029703
4;t;4,346534653
5;t;4,336633663
5;c;4,376237624
5;t;4,396039604
3;r;4,415841584
3;c;4,504950495
4;d;4,465346535
5;t;4,445544554
4;m;4,455445545
4;t;4,455445545
4;n;4,445544554
4;r;4,425742574
5;n;4,475247525
