frequency;letter;
5;r;4,306930693
3;t;4,297029703
8;t;4,376237624
5;m;4,366336634
3;t;4,336633663
4;n;4,396039604
3;t;4,396039604
5;m;4,455445545
3;s;4,445544554
4;t;4,514851485
4;t;4,534653465
4;t;4,514851485
4;t;4,504950495
5;s;4,524752475
4;r;4,514851485
5;s;4,564356436
4;s;4,613861386
6;t;4,574257426
5;n;4,574257426
5;r;4,594059406
4;l;4,623762376
3;r;4,653465347
3;t;4,594059406
6;r;4,613861386
3;s;4,594059406
5;t;4,564356436
4;r;4,594059406
4;s;4,594059406
4;t;4,613861386
3;t;4,623762376
3;t;4,613861386
4;r;4,603960396
4;t;4,603960396
4;l;4,574257426
4;t;4,554455446
4;s;4,524752475
4;c;4,445544554
5;r;4,455445545
4;s;4,495049505
4;t;4,514851485
3;s;4,514851485
3;s;4,425742574
5;t;4,465346535
4;m;4,455445545
4;t;4,485148515
2;s;4,524752475
6;n;4,495049505
4;n;4,495049505
4;r;4,495049505
3;t;4,485148515
4;t;4,445544554
3;t;4,435643564
6;t;4,415841584
5;r;4,455445545
5;n;4,465346535
5;c;4,465346535
6;t;4,495049505
4;r;4,504950495
6;r;4,534653465
5;s;4,524752475
4;t;4,475247525
3;t;4,514851485
6;s;4,504950495
5;s;4,514851485
4;m;4,495049505
6;t;4,485148515
4;n;4,495049505
4;t;4,495049505
5;s;4,455445545
4;s;4,396039604
4;t;4,415841584
4;r;4,396039604
3;b;4,445544554
4;t;4,405940594
5;t;4,396039604
3;t;4,435643564
6;s;4,455445545
3;t;4,445544554
4;c;4,366336634
5;t;4,356435644
5;c;4,316831683
5;t;4,376237624
7;t;4,415841584
3;s;4,425742574
5;r;4,425742574
5;t;4,386138614
6;r;4,366336634
2;t;4,316831683
4;t;4,366336634
4;t;4,396039604
5;t;4,396039604
4;r;4,445544554
4;s;4,396039604
5;t;4,386138614
4;t;4,396039604
5;t;4,366336634
4;c;4,346534653
5;n;4,356435644
3;t;4,396039604
5;s;4,376237624
4;t;4,415841584
4;t;4,405940594
4;t;4,356435644
6;r;4,306930693
4;t;4,277227723
5;n;4,306930693
6;t;4,306930693
7;t;4,316831683
4;s;4,306930693
6;m;4,306930693
4;s;4,316831683
3;t;4,257425743
3;n;4,297029703
5;s;4,297029703
4;t;4,267326733
5;t;4,267326733
6;r;4,207920792
4;t;4,168316832
4;r;4,138613861
4;m;4,178217822
4;t;4,138613861
4;s;4,138613861
5;m;4,138613861
5;m;4,148514851
6;s;4,168316832
5;t;4,198019802
4;p;4,198019802
4;t;4,267326733
5;s;4,297029703
4;r;4,277227723
3;t;4,287128713
5;t;4,297029703
5;m;4,306930693
5;t;4,316831683
5;s;4,336633663
5;s;4,386138614
4;t;4,435643564
4;m;4,455445545
4;t;4,514851485
4;s;4,514851485
4;r;4,524752475
6;t;4,524752475
3;t;4,544554455
5;t;4,564356436
5;t;4,594059406
7;t;4,504950495
5;s;4,524752475
3;t;4,465346535
4;s;4,445544554
4;t;4,455445545
5;t;4,475247525
5;s;4,465346535
5;t;4,455445545
5;c;4,514851485
3;t;4,534653465
3;t;4,504950495
3;s;4,534653465
6;t;4,514851485
6;s;4,475247525
4;t;4,435643564
6;s;4,485148515
5;n;4,495049505
3;l;4,514851485
6;s;4,554455446
5;r;4,544554455
5;s;4,564356436
4;s;4,574257426
5;s;4,564356436
6;n;4,594059406
4;s;4,613861386
3;r;4,643564356
5;t;4,683168317
6;t;4,712871287
5;c;4,722772277
4;c;4,643564356
5;t;4,683168317
6;r;4,653465347
4;s;4,673267327
6;r;4,702970297
5;n;4,702970297
5;t;4,712871287
4;t;4,673267327
4;p;4,653465347
4;n;4,613861386
6;t;4,603960396
3;t;4,613861386
5;t;4,564356436
4;t;4,554455446
4;t;4,594059406
4;t;4,574257426
4;t;4,534653465
5;t;4,495049505
4;m;4,524752475
6;t;4,504950495
4;s;4,504950495
5;r;4,485148515
6;t;4,504950495
4;n;4,554455446
4;s;4,544554455
5;s;4,554455446
6;s;4,504950495
5;m;4,514851485
5;t;4,534653465
6;r;4,584158416
4;t;4,594059406
5;r;4,534653465
5;s;4,534653465
4;r;4,613861386
5;m;4,603960396
3;s;4,633663366
5;t;4,643564356
5;t;4,633663366
4;t;4,564356436
4;r;4,564356436
3;r;4,554455446
5;m;4,524752475
6;s;4,554455446
3;t;4,475247525
3;t;4,445544554
4;n;4,435643564
5;c;4,495049505
4;t;4,544554455
4;t;4,495049505
4;s;4,455445545
4;t;4,455445545
5;t;4,445544554
5;t;4,435643564
6;s;4,366336634
4;q;4,376237624
5;r;4,356435644
5;t;4,396039604
5;s;4,415841584
5;r;4,445544554
5;n;4,435643564
4;r;4,376237624
4;r;4,405940594
7;t;4,386138614
4;s;4,435643564
4;r;4,445544554
4;t;4,425742574
4;m;4,356435644
4;s;4,356435644
5;t;4,366336634
5;r;4,346534653
5;m;4,346534653
5;t;4,386138614
3;t;4,366336634
5;t;4,405940594
5;c;4,425742574
4;s;4,415841584
5;s;4,415841584
4;r;4,405940594
6;s;4,386138614
3;s;4,415841584
5;t;4,445544554
4;t;4,495049505
5;t;4,485148515
3;t;4,455445545
3;s;4,415841584
7;n;4,386138614
4;r;4,435643564
3;n;4,445544554
4;l;4,455445545
4;t;4,485148515
6;t;4,524752475
5;t;4,514851485
5;n;4,554455446
5;t;4,564356436
5;s;4,504950495
2;r;4,524752475
5;t;4,524752475
5;t;4,495049505
3;s;4,455445545
4;r;4,485148515
3;t;4,475247525
5;t;4,396039604
4;n;4,396039604
3;r;4,396039604
4;n;4,455445545
4;t;4,445544554
3;m;4,415841584
5;m;4,415841584
5;t;4,376237624
5;s;4,396039604
4;t;4,346534653
5;r;4,306930693
5;m;4,287128713
4;m;4,247524752
4;s;4,198019802
5;c;4,158415842
6;s;4,178217822
4;r;4,178217822
5;r;4,178217822
